"wave","stage","research_question","input_representation","graph_topology","encoder","decoder_or_scoring","run_design","batching","main_result","decision_next_step","status"
"7","V1B control","Czy matched aux naprawia V1?","GHCR binary + matched aux","Bez zmian","HGT","HCR decoder","Kontrola clean","Full-batch","Test +0.058 vs V1, nadal −0.167 vs V0","Przejść do enriched40","done"
"7B","40D Panel B","Czy jitter/enriched40 bije legacy pad40?","40D per role; 120D motif","G_train","HGT L3H8W32","Panel B decoder","B0-B3, clean seed22","Full-batch; 300 epochs","B0 valid 0.804; B2 0.791; B1 0.702","B0 formalnie wygrywa valid; audyt residual","done"
"7B","Residual R1-R4","Czy residual/conditional gain poprawia Panel B?","Legacy/enriched/residual","G_train","HGT","Shared/gated/classical4/conditional heads","R1-R4 clean","Full-batch","R3 0.898 > R4 0.892 > R1 0.876","Conditional gain odrzucony","done"
"7C","Decoder architecture","Shared czy unshared role encoders?","Enriched40 AZ⊕AG⊕ZG","G_train","HGT L3H8W32","A0 shared; A1 unshared; A2 global; A3 linear","4 variants, clean seed22","Full-batch; 300 epochs","A1 0.922 > A0 0.918 > A2 0.863 > A3 0.837","Promować unshared","done"
"7C","Context ablation","Które role motywu są konieczne?","Full/AG-only/no-AG/masks/permutations","G_train","HGT","Wave7C decoder","C0-C6 clean seed22","Full-batch","AG-only 0.927; full 0.919; no-AG 0.646; patient perm 0.665","AG konieczne; pełny motif zachowany","done"
"7C","Multi-seed freeze","Czy A1 jest stabilny?","Enriched40 full motif","G_train","HGT L3H8W32","A1 unshared vs shared masks","2 variants × 3 seeds = 6","Full-batch","A1 0.952±0.026 vs 0.949±0.033","Freeze A1","done"
"7D","CMI edge gain","Czy I(A;G|Z) poprawia valid?","Enriched40 + conditional triple","G_train","HGT","T0 vs T1 CMI","2 runy seed22","Full-batch","T1-T0 valid −0.0056","Odrzucić CMI","done"
"7D","Six scenarios","Czy finalny T0 jest odporny?","Enriched40 fit per scenario","Identyczne kandydaty","HGT L3H8W32","Unshared MLP roles","6 scenarios × 3 seeds = 18","Full-batch","Valid 0.942-0.964 zależnie od scenario","Freeze final Task A stack","done"
"8","Missing wave","Czy istniała Wave 8?","Brak","Brak","Brak","Brak","Brak","Brak","Brak artefaktów","Numeracja 7D→9","not_existing"
"9","Direct pair KAN screen","Czy KAN lepiej czyta 40D niż MLP?","Enriched40 ×3 roles","Frozen final stack protocol","MLP 40→16→8 vs KAN 40→16→8","Ten sam Wave7C decoder","2 runy clean seed22","Full-batch; up to 200 epochs","MLP 0.9228 vs KAN 0.8881 valid; Δ−0.0347","Freeze MLP; diagnose AG","done"
"10","Fair AG residual","Czy mały KAN residual AG pomaga MLP?","AG enriched40","Frozen W9 MLP backbone","MLP + gated KAN 40→8 residual","Same classifier","R0 eval-only + R1 train residual","R1 residual parameters only","Δvalid +0.000034; αfinal 0.0475","Brak wartości; freeze MLP","done"
"11","Etap0 full retrain","Czy full KAN retrain bije full MLP?","Enriched40 AZ⊕AG⊕ZG fit per scenario","Same graph/candidates/fingerprints","Full HGT + MLP or KAN pair encoders","Same graph branch/classifier","2 models × 6 scenarios × 3 seeds = 36","Full-batch; up to 200 epochs","Mean scenario ΔKAN-MLP ≈−0.0111","MLP global winner; audit KAN architectures","done"
"11","Etap1 K1-K5 screen","Czy KAN potrzebuje innej organizacji?","Same enriched40","Same graph/candidates","K1 shallow; K2 MLP→KAN; K3 KAN→Linear; K4 Linear+KAN; K5 grouped","Same final stack","5 architectures × 2 scenarios × 1 seed = 10","Full-batch","Promoted K1 i K2; K4/K5 duże straty","Multi-seed K1/K2","done"
"11","Etap2 promoted multi-seed","Która architektura KAN jest stabilniejsza?","Same enriched40","Same graph/candidates","K1 vs K2","Same","2×2 scenarios×3 seeds=12; reuse screen where possible","Full-batch","K1 Δ−0.0024/−0.0028; K2 −0.0054/−0.0025","Wybrać K1 shallow","done"
"11","Etap3 K1 scenarios","Jak K1 działa we wszystkich scenariuszach?","Same enriched40 fit per scenario","Same graph/candidates","K1 shallow + full HGT retrain","Same","6 scenarios × 3 seeds = 18","Full-batch","Mean Δ−0.00444; 5/18 wins; selection_bias −0.0146","MLP nadal global winner","done"
"11","Rare endpoint-path audit","Czy KAN pomaga na ścieżkach rzadkich endpointów?","Endpoint reachability registry + predictions","Downstream G⇝endpoint bez candidate A→G","TA_MLP vs TA_KAN_SHALLOW","Evaluation only","60 scenario×endpoint cells aggregated over 3 seeds","Eval-only","Sparse 1-5%: ΔAUPRC +0.00526; ΔnAUPRC +0.00618","Lokalny eksploracyjny zysk KAN; nie zmienia globalnego winnera","done"
